Submission Time,Full name,Marital status,Gender,Religion,Date of birth,Current address,Highest formal of education,Faculty/Major,School/University name,Email address,WhatsApp number,Desired positions,Current status,Experience,Applied date,Portfolio (2MB),Upload CV (2MB),Portfolio link,Expected salary (IDR),Where did you find this job?,Consent,Skills
"Jan 09, 2025 @ 02:52 AM",Kamal Mustofa,Married,Male,Buddhist,01/30/2000,"Gg. Cihampelas No. 2, Blitar, Maluku Utara 27992",SMA/SMK,Sistem Komputer,Universitas Indonesia,najmudinhasim@gmail.com,936605974749,Backend Developer,Freelancer,1-3 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5921665,LinkedIn,checked,"['Kubernetes', 'CSS', 'Python', 'GCP', 'SQL', 'Figma']"
"May 09, 2025 @ 01:45 PM",Ir. Tugiman Wahyudin,Married,Female,Catholic,04/01/1998,"Gang Ciwastra No. 75, Prabumulih, KU 25929",S1/D4,Teknik Komputer,Universitas Indonesia,iwahyuni@hotmail.com,330201417013,Backend Developer,Unemployed,3-5 years,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6593307,Telegram Group,checked,"['Azure', 'Linux', 'Kubernetes', 'JavaScript', 'GCP', 'Python']"
"Jan 03, 2025 @ 02:11 AM",Mustika Nababan,Single,Male,Moslem,05/01/1997,"Gang Veteran No. 763, Ambon, SU 17534",S1/D4,Teknik Informatika,Universitas Gadjah Mada,emaulana@gmail.com,929697846539,DevOps Engineer,Intern,3-5 years,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6068400,LinkedIn,checked,"['Python', 'Docker', 'Azure', 'CSS', 'React', 'SQL']"
"Apr 06, 2025 @ 06:49 AM",Ajeng Natsir,Single,Female,Catholic,04/30/1999,"Gg. Raya Ujungberung No. 777, Bau-Bau, Nusa Tenggara Barat 63433",S1/D4,Teknik Informatika,Institut Teknologi Bandung,dwiprayoga@yahoo.com,793195794319,IT Support,Unemployed,1-3 years,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9868213,Telegram Group,checked,"['React', 'GCP', 'Linux', 'JavaScript', 'Python', 'Networking']"
"Apr 24, 2025 @ 01:36 PM","Anita Hartati, M.Ak",Married,Male,Christian,10/03/1990,"Gg. S. Parman No. 37, Pematangsiantar, Sulawesi Barat 23542",D3,Sistem Komputer,Universitas Gadjah Mada,putu58@gmail.com,690626072615,Backend Developer,Fulltime,1-3 years,06/04/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8627073,Website,checked,"['JavaScript', 'Linux', 'Docker', 'Kubernetes', 'Figma', 'GCP']"
"Mar 16, 2025 @ 06:05 PM",Nurul Maryati,Single,Male,Christian,12/27/1997,"Jalan Pacuan Kuda No. 296, Langsa, Sumatera Barat 53234",SMA/SMK,Informatics,Universitas Indonesia,lukitahariyah@gmail.com,434823110173,Backend Developer,Intern,3-5 years,05/24/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6399719,Indeed,checked,"['Node.js', 'Networking', 'JavaScript', 'Figma', 'HTML']"
"Mar 14, 2025 @ 06:56 PM",Taufik Maheswara,Married,Female,Moslem,04/23/2001,"Jalan Rumah Sakit No. 8, Tegal, Lampung 95570",S2,Teknik Informatika,Universitas Gadjah Mada,elvinramadan@pd.biz.id,091375911264,Data Analyst,Unemployed,Fresh graduate,05/22/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8611863,Indeed,checked,"['GCP', 'Azure', 'Figma']"
"Apr 22, 2025 @ 04:06 PM","Ir. Cawuk Tamba, S.Gz",Married,Female,Christian,04/11/1999,"Gang Tubagus Ismail No. 82, Palu, Sulawesi Tengah 45536",S2,Teknik Informatika,Universitas Indonesia,mahesa59@yahoo.com,896395976534,IT Support,Unemployed,3-5 years,06/02/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5877282,Website,checked,"['GCP', 'Figma', 'JavaScript', 'Kubernetes']"
"May 14, 2025 @ 05:06 PM","Puti Fitriani Susanti, M.Kom.",Single,Male,Moslem,06/11/2001,"Jl. Pelajar Pejuang No. 67, Palembang, ST 79790",SMA/SMK,Manajemen Informatika,Universitas Bina Nusantara,vhidayat@cv.my.id,202599675941,Data Analyst,Freelancer,Fresh graduate,05/23/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6656899,Telegram Group,checked,"['Linux', 'React', 'Docker']"
"May 19, 2025 @ 12:44 AM",Tiara Tarihoran,Married,Male,Moslem,10/18/1992,"Jalan Pasteur No. 7, Tual, Sulawesi Tengah 77342",SMA/SMK,Sistem Informasi,Universitas Gadjah Mada,xwidodo@pd.sch.id,014278046849,Data Analyst,Freelancer,Fresh graduate,05/25/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.pt.int/,5519671,Glints,checked,"['Figma', 'Node.js', 'Networking', 'GCP', 'Linux', 'Docker']"
"May 24, 2025 @ 09:21 AM",R. Jinawi Mandasari,Married,Male,Buddhist,05/13/2004,"Jl. Rajawali Timur No. 28, Kota Administrasi Jakarta Timur, Gorontalo 18990",S2,Teknik Informatika,Institut Teknologi Bandung,tarihoranbakianto@yahoo.com,860991257303,IT Support,Intern,Fresh graduate,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8617164,Website,checked,"['SQL', 'Networking', 'Linux']"
"Feb 27, 2025 @ 03:21 AM",Bahuwarna Nashiruddin,Single,Male,Moslem,09/13/2000,"Jl. Jend. A. Yani No. 79, Bogor, Riau 62903",S2,Sistem Informasi,Universitas Terbuka,epradana@perum.com,575501179873,DevOps Engineer,Fulltime,3-5 years,05/22/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9179535,Glints,checked,"['GCP', 'AWS', 'Kubernetes', 'SQL']"
"Apr 05, 2025 @ 04:39 AM",Dr. Eka Permadi,Married,Female,Christian,05/30/1995,"Jalan Bangka Raya No. 61, Tanjungbalai, YO 54532",SMA/SMK,Informatics,Institut Teknologi Bandung,prasetyagaluh@hotmail.com,667056690197,Backend Developer,Unemployed,Fresh graduate,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6608072,LinkedIn,checked,"['SQL', 'Networking', 'JavaScript']"
"May 18, 2025 @ 05:23 AM",Julia Nashiruddin,Married,Female,Catholic,05/15/2002,"Jalan S. Parman No. 60, Malang, SG 50193",S1/D4,Teknik Komputer,Universitas Gunadarma,fujiatigantar@hotmail.com,147792722489,DevOps Engineer,Unemployed,Fresh graduate,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.pt.biz.id/,7684174,Instagram,checked,"['SQL', 'AWS', 'Figma', 'Python', 'Networking', 'Kubernetes']"
"Jan 14, 2025 @ 08:17 PM","R.M. Darmaji Mardhiyah, S.IP",Married,Female,Catholic,08/21/1996,"Gang Dr. Djunjunan No. 4, Solok, Sumatera Selatan 45404",S2,Manajemen Informatika,Institut Teknologi Bandung,wacanamumpuni@perum.ac.id,847447849716,Backend Developer,Unemployed,3-5 years,06/04/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7447190,Telegram Group,checked,"['React', 'Python', 'HTML', 'JavaScript', 'Kubernetes', 'Figma']"
"Feb 18, 2025 @ 03:48 PM","Garan Pradipta, M.Kom.",Single,Male,Christian,06/28/1989,"Gg. Cikapayang No. 26, Cirebon, Bengkulu 26202",SMA/SMK,Sistem Informasi,Universitas Bina Nusantara,xmelani@hotmail.com,409989154831,Backend Developer,Unemployed,3-5 years,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6731966,Indeed,checked,"['Kubernetes', 'React', 'GCP', 'Azure', 'Docker']"
"Mar 02, 2025 @ 12:46 AM","Dr. Asmianto Tamba, S.Gz",Single,Male,Hindu,10/03/1997,"Gang Waringin No. 7, Tidore Kepulauan, JT 93638",S2,Teknik Informatika,Universitas Indonesia,emasrahimah@cv.ponpes.id,335751135078,UI/UX Designer,Freelancer,1-3 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8451811,LinkedIn,checked,"['HTML', 'Azure', 'Networking']"
"Jan 15, 2025 @ 12:38 PM",Jasmin Saragih,Single,Male,Hindu,05/25/2003,"Jalan Cihampelas No. 3, Jambi, YO 41307",S1/D4,Sistem Informasi,Universitas Gadjah Mada,gsaputra@gmail.com,335280583103,IT Support,Fulltime,1-3 years,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://pd.com/,6999146,Indeed,checked,"['CSS', 'Linux', 'Azure']"
"Jun 04, 2025 @ 08:47 PM",Zizi Wibowo,Married,Male,Christian,09/19/1997,"Gg. Ahmad Dahlan No. 60, Tangerang Selatan, Lampung 11250",S1/D4,Sistem Komputer,Institut Teknologi Bandung,lailasaridagel@yahoo.com,999798698741,IT Support,Freelancer,3-5 years,05/13/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7827977,Telegram Group,checked,"['Kubernetes', 'SQL', 'HTML', 'Figma', 'JavaScript']"
"Apr 01, 2025 @ 06:04 PM",Hj. Indah Prasasta,Single,Male,Hindu,07/15/2002,"Gg. PHH. Mustofa No. 4, Tarakan, Nusa Tenggara Timur 15823",D3,Teknik Informatika,Universitas Gadjah Mada,ymelani@perum.com,223902182162,Frontend Developer,Fulltime,Fresh graduate,05/25/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5966540,Website,checked,"['React', 'Networking', 'Linux', 'AWS', 'HTML']"
"Jan 29, 2025 @ 12:37 PM",Cakrabirawa Nugroho,Single,Female,Buddhist,10/05/1995,"Jl. Rajiman No. 49, Langsa, AC 57696",S1/D4,Sistem Komputer,Universitas Indonesia,permatabahuwarna@pt.my.id,937764986007,Backend Developer,Intern,3-5 years,05/24/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9525241,Indeed,checked,"['JavaScript', 'Networking', 'AWS', 'CSS', 'Python']"
"May 12, 2025 @ 07:18 PM",Devi Natsir,Married,Male,Moslem,08/19/1996,"Gang Pasirkoja No. 715, Prabumulih, Nusa Tenggara Timur 81444",S2,Sistem Informasi,Institut Teknologi Bandung,hrahayu@pt.id,930667098774,DevOps Engineer,Freelancer,1-3 years,05/14/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8883524,LinkedIn,checked,"['Python', 'Docker', 'HTML', 'GCP']"
"May 20, 2025 @ 05:45 AM",Kadir Sinaga,Single,Male,Moslem,07/27/1991,"Gang Kutai No. 56, Serang, Sulawesi Selatan 26471",D3,Teknik Informatika,Universitas Gunadarma,mnugroho@yahoo.com,620222995254,Data Analyst,Unemployed,1-3 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9833923,Website,checked,"['Kubernetes', 'JavaScript', 'Networking', 'CSS']"
"Jan 14, 2025 @ 06:28 PM",Bakianto Farida,Single,Male,Christian,11/02/2002,"Jalan Kutai No. 945, Balikpapan, KR 75237",D3,Teknik Komputer,Universitas Terbuka,tmandala@yahoo.com,723253155116,IT Support,Intern,Fresh graduate,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9613013,Glints,checked,"['React', 'CSS', 'Azure']"
"Feb 04, 2025 @ 09:29 AM",Nalar Purnawati,Single,Female,Catholic,12/08/2000,"Gang Merdeka No. 3, Magelang, YO 94960",D3,Sistem Informasi,Universitas Bina Nusantara,wijayantikawaca@gmail.com,115543393205,UI/UX Designer,Fulltime,3-5 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8407946,Instagram,checked,"['Python', 'AWS', 'SQL']"
"Mar 27, 2025 @ 12:11 AM","drg. Anastasia Puspasari, S.Gz",Single,Male,Moslem,06/24/2002,"Jl. Otto Iskandardinata No. 4, Payakumbuh, Maluku Utara 31724",S2,Teknik Komputer,Universitas Gunadarma,endahsafitri@yahoo.com,143443427450,Data Analyst,Fulltime,Fresh graduate,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7953913,Indeed,checked,"['Linux', 'SQL', 'React', 'Kubernetes']"
"Feb 12, 2025 @ 04:33 PM","Eka Yolanda, M.TI.",Single,Female,Moslem,12/15/1989,"Jalan W.R. Supratman No. 8, Padang, Sumatera Utara 51959",S1/D4,Teknik Informatika,Universitas Gunadarma,okta08@hotmail.com,199979774738,UI/UX Designer,Intern,Fresh graduate,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6725431,LinkedIn,checked,"['Figma', 'Azure', 'GCP', 'Docker', 'HTML']"
"Apr 23, 2025 @ 02:49 PM",Wage Uyainah,Married,Female,Buddhist,09/21/1994,"Gg. Kutisari Selatan No. 534, Tomohon, Maluku Utara 86753",D3,Sistem Komputer,Universitas Bina Nusantara,wiboworosman@hotmail.com,935644083937,Frontend Developer,Freelancer,Fresh graduate,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.perum.my.id/,4798479,Glints,checked,"['GCP', 'Kubernetes', 'Figma']"
"Jan 27, 2025 @ 10:40 AM",Hamima Budiyanto,Married,Male,Catholic,07/20/2000,"Jl. Jakarta No. 2, Jambi, Sulawesi Tenggara 31792",SMA/SMK,Manajemen Informatika,Universitas Bina Nusantara,corneliapurwanti@yahoo.com,372441104780,IT Support,Freelancer,1-3 years,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7947668,Telegram Group,checked,"['GCP', 'Kubernetes', 'Networking', 'Azure']"
"Mar 26, 2025 @ 10:09 PM","Azalea Siregar, M.TI.",Married,Male,Moslem,08/26/1990,"Gg. Laswi No. 683, Banjarbaru, YO 11655",S1/D4,Sistem Komputer,Universitas Gadjah Mada,faridaamelia@pd.net.id,118254926331,IT Support,Intern,1-3 years,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8970035,Indeed,checked,"['Kubernetes', 'JavaScript', 'Networking', 'HTML']"
"Jan 16, 2025 @ 09:16 AM",Keisha Purwanti,Married,Male,Buddhist,11/18/1993,"Jalan Gegerkalong Hilir No. 173, Sungai Penuh, KT 28615",D3,Sistem Informasi,Universitas Gadjah Mada,lukmanlailasari@yahoo.com,037808298708,IT Support,Freelancer,3-5 years,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7484629,LinkedIn,checked,"['Figma', 'SQL', 'Networking', 'JavaScript', 'GCP', 'Python']"
"Jun 03, 2025 @ 03:39 AM",Jelita Pranowo,Married,Male,Christian,12/08/1999,"Jl. Veteran No. 280, Bandung, KB 19092",D3,Teknik Komputer,Universitas Bina Nusantara,damaniklegawa@yahoo.com,499710778259,IT Support,Unemployed,1-3 years,05/13/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5979500,LinkedIn,checked,"['SQL', 'Linux', 'Networking', 'Figma', 'Azure']"
"Jun 09, 2025 @ 04:08 PM",Farhunnisa Hidayat,Single,Female,Christian,06/03/1999,"Gg. Rungkut Industri No. 19, Malang, SR 30473",S1/D4,Sistem Informasi,Universitas Terbuka,putrakenzie@perum.my.id,417980160373,DevOps Engineer,Freelancer,3-5 years,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://ud.ac.id/,5192993,Telegram Group,checked,"['HTML', 'Azure', 'Node.js', 'GCP', 'Docker', 'Networking']"
"May 06, 2025 @ 01:06 PM","KH. Anom Nugroho, M.Pd",Married,Male,Catholic,04/29/1998,"Jalan Monginsidi No. 156, Bandar Lampung, BT 38865",S1/D4,Teknik Informatika,Universitas Gadjah Mada,among78@ud.net.id,123044649166,IT Support,Fulltime,More than 5 years,05/22/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5174893,Telegram Group,checked,"['Azure', 'Python', 'CSS']"
"Feb 17, 2025 @ 08:23 AM","Malika Prakasa, M.Kom.",Married,Female,Moslem,09/08/1998,"Gang Erlangga No. 4, Kota Administrasi Jakarta Selatan, Sulawesi Selatan 73945",D3,Sistem Komputer,Universitas Indonesia,jaka65@gmail.com,247993948146,Frontend Developer,Intern,Fresh graduate,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6763958,Telegram Group,checked,"['Docker', 'Linux', 'JavaScript']"
"Mar 19, 2025 @ 03:10 PM",Natalia Maryadi,Single,Male,Christian,02/28/2001,"Jalan Sentot Alibasa No. 7, Palembang, RI 87093",D3,Teknik Komputer,Universitas Bina Nusantara,cakrawangsayolanda@gmail.com,405640291048,Data Analyst,Fulltime,1-3 years,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6102698,Glints,checked,"['SQL', 'Figma', 'Python', 'Kubernetes']"
"Apr 30, 2025 @ 04:27 PM",Hafshah Santoso,Single,Female,Christian,01/02/1993,"Jalan Jend. Sudirman No. 8, Sabang, JA 55321",D3,Informatics,Universitas Gunadarma,cakrabirawa79@yahoo.com,639826119586,Backend Developer,Unemployed,More than 5 years,05/18/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9223217,LinkedIn,checked,"['Kubernetes', 'Docker', 'AWS']"
"May 22, 2025 @ 05:29 AM",Dr. Tantri Pradana,Married,Male,Buddhist,08/21/1989,"Gang Cikutra Timur No. 3, Tegal, PB 09225",D3,Informatics,Universitas Bina Nusantara,tambaliman@yahoo.com,311436809481,Backend Developer,Unemployed,1-3 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7424252,Instagram,checked,"['Azure', 'Figma', 'SQL', 'React', 'Linux', 'Kubernetes']"
"Jun 01, 2025 @ 12:01 PM","Dr. Tina Siregar, S.I.Kom",Married,Male,Hindu,02/10/1994,"Gang Kendalsari No. 7, Lubuklinggau, Nusa Tenggara Timur 22073",SMA/SMK,Sistem Informasi,Universitas Terbuka,candrakanta42@gmail.com,340230965379,Data Analyst,Intern,1-3 years,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.perum.net.id/,8838714,LinkedIn,checked,"['JavaScript', 'Python', 'Node.js', 'Azure', 'HTML']"
"May 21, 2025 @ 09:51 PM",Legawa Halim,Single,Male,Moslem,04/20/2001,"Jalan Cikutra Barat No. 176, Gorontalo, Bali 67431",S1/D4,Teknik Komputer,Universitas Bina Nusantara,yani01@hotmail.com,453904068641,Frontend Developer,Unemployed,3-5 years,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6936990,LinkedIn,checked,"['Kubernetes', 'Node.js', 'GCP', 'Azure', 'HTML']"
"Jan 02, 2025 @ 06:39 PM","Vanya Marbun, S.H.",Married,Male,Catholic,12/05/1989,"Gang BKR No. 7, Banjar, SS 08879",S1/D4,Sistem Komputer,Universitas Bina Nusantara,psudiati@hotmail.com,502993764126,Data Analyst,Intern,Fresh graduate,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://perum.go.id/,8337914,Website,checked,"['AWS', 'React', 'SQL', 'Kubernetes', 'GCP']"
"Feb 11, 2025 @ 06:39 AM",Febi Suryono,Married,Male,Hindu,03/12/1995,"Jl. Jamika No. 01, Sabang, Sumatera Utara 10276",D3,Informatics,Universitas Gadjah Mada,yogasitumorang@pd.mil,017171907642,UI/UX Designer,Unemployed,3-5 years,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.ud.int/,5424243,Telegram Group,checked,"['React', 'Azure', 'Node.js']"
"Mar 13, 2025 @ 03:32 AM",Kemba Wibowo,Married,Male,Catholic,09/07/2003,"Gang Ciwastra No. 16, Kupang, GO 26199",S2,Informatics,Universitas Terbuka,ozy22@pt.sch.id,908618253889,Backend Developer,Intern,More than 5 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8305861,Indeed,checked,"['JavaScript', 'Networking', 'Node.js', 'GCP', 'Python']"
"May 18, 2025 @ 01:54 AM","Purwa Maheswara, M.Ak",Married,Male,Christian,08/05/1989,"Gang Peta No. 7, Pekanbaru, JT 55209",S1/D4,Sistem Komputer,Universitas Bina Nusantara,solehnovitasari@pd.int,202720414452,Backend Developer,Fulltime,3-5 years,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://perum.edu/,4840465,Telegram Group,checked,"['Python', 'Figma', 'Networking']"
"May 10, 2025 @ 03:34 AM","Tiara Sinaga, S.Farm",Single,Male,Buddhist,07/30/1998,"Gg. Sukabumi No. 7, Bitung, Kalimantan Timur 77274",D3,Informatics,Institut Teknologi Bandung,ani29@hotmail.com,931063517357,IT Support,Fulltime,More than 5 years,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6547637,Indeed,checked,"['Linux', 'React', 'HTML', 'GCP', 'Azure', 'SQL']"
"Mar 12, 2025 @ 02:53 PM",T. Limar Firmansyah,Married,Female,Hindu,06/09/1997,"Gg. Sadang Serang No. 28, Langsa, BA 75095",S1/D4,Sistem Komputer,Universitas Gadjah Mada,ramadankariman@cv.mil.id,276477982429,DevOps Engineer,Freelancer,1-3 years,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9636128,Indeed,checked,"['Figma', 'AWS', 'Networking', 'SQL']"
"Apr 22, 2025 @ 10:18 PM","Budi Susanti, S.Gz",Married,Male,Hindu,02/05/1990,"Jalan Dipenogoro No. 04, Prabumulih, Sumatera Utara 84724",SMA/SMK,Sistem Komputer,Universitas Gunadarma,maryatiunggul@ud.sch.id,030711245870,Frontend Developer,Intern,3-5 years,05/14/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9873029,Website,checked,"['Kubernetes', 'JavaScript', 'Docker', 'CSS', 'Python']"
"Mar 25, 2025 @ 08:06 PM",Hamima Budiyanto,Single,Female,Catholic,12/14/1997,"Gg. Raya Ujungberung No. 28, Surakarta, Banten 92824",SMA/SMK,Sistem Komputer,Universitas Bina Nusantara,yance39@yahoo.com,249023019593,DevOps Engineer,Unemployed,3-5 years,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.ud.int/,7128432,Telegram Group,checked,"['Docker', 'SQL', 'HTML', 'Python']"
"Apr 18, 2025 @ 03:55 AM",Chelsea Nugroho,Single,Female,Catholic,01/31/1990,"Gang Jayawijaya No. 66, Sukabumi, Sulawesi Selatan 19925",SMA/SMK,Teknik Informatika,Universitas Bina Nusantara,gunawanzaenab@cv.go.id,658404302193,UI/UX Designer,Fulltime,Fresh graduate,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6232093,Telegram Group,checked,"['Linux', 'JavaScript', 'CSS', 'Node.js', 'Docker', 'Python']"
"Jan 28, 2025 @ 10:12 AM","Zelaya Hastuti, S.E.",Single,Male,Catholic,04/05/1991,"Gg. Kapten Muslihat No. 9, Salatiga, Bengkulu 95312",D3,Manajemen Informatika,Institut Teknologi Bandung,qwidodo@hotmail.com,492866659712,UI/UX Designer,Unemployed,1-3 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7979921,Website,checked,"['Figma', 'Networking', 'GCP']"
"May 05, 2025 @ 06:36 PM",R.A. Ella Santoso,Single,Female,Moslem,05/25/1997,"Gang Sukabumi No. 438, Sungai Penuh, Kepulauan Riau 42786",D3,Teknik Informatika,Institut Teknologi Bandung,xpranowo@pd.net,214567861408,Data Analyst,Freelancer,1-3 years,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7029467,Indeed,checked,"['Networking', 'JavaScript', 'CSS', 'Azure', 'GCP', 'HTML']"
"Jan 25, 2025 @ 06:03 AM",Opung Wijaya,Married,Female,Moslem,09/04/1992,"Gang H.J Maemunah No. 39, Magelang, Sumatera Selatan 68364",D3,Informatics,Universitas Terbuka,waskitahendra@gmail.com,940478937835,Data Analyst,Unemployed,3-5 years,05/30/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8250800,Glints,checked,"['React', 'Figma', 'Kubernetes', 'Networking']"
"Apr 07, 2025 @ 03:05 PM","Cecep Natsir, S.Ked",Single,Female,Catholic,11/18/1998,"Gang Sukabumi No. 89, Tidore Kepulauan, Kepulauan Riau 76661",D3,Informatics,Universitas Bina Nusantara,makara19@pd.ac.id,301136440212,UI/UX Designer,Fulltime,More than 5 years,05/15/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8145680,Glints,checked,"['Kubernetes', 'SQL', 'Python']"
"Mar 01, 2025 @ 04:39 PM","Tgk. Darimin Firmansyah, S.E.",Single,Female,Hindu,08/24/1990,"Jl. Pasir Koja No. 4, Banjarmasin, BT 82513",D3,Teknik Komputer,Universitas Bina Nusantara,gwastuti@cv.mil.id,906197223819,IT Support,Intern,3-5 years,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9306903,Glints,checked,"['Python', 'AWS', 'GCP', 'Kubernetes', 'SQL']"
"Apr 24, 2025 @ 08:57 PM","Karen Najmudin, S.I.Kom",Married,Female,Hindu,01/01/2001,"Gg. Pasir Koja No. 18, Bengkulu, Lampung 33312",D3,Teknik Informatika,Universitas Gunadarma,wahyudingadang@yahoo.com,713436218233,IT Support,Intern,1-3 years,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.perum.int/,6969675,LinkedIn,checked,"['GCP', 'Networking', 'JavaScript']"
"Feb 23, 2025 @ 06:28 AM",Tgk. Cornelia Andriani,Married,Male,Catholic,04/15/1994,"Jalan Gardujati No. 999, Tebingtinggi, Jambi 86340",D3,Sistem Informasi,Universitas Bina Nusantara,hariyahbagus@ud.net,429109841068,Backend Developer,Fulltime,Fresh graduate,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6537220,LinkedIn,checked,"['Python', 'SQL', 'Networking', 'Kubernetes', 'Docker', 'Linux']"
"May 02, 2025 @ 01:26 AM",Fitriani Rahimah,Single,Female,Moslem,02/26/2002,"Jl. BKR No. 5, Palangkaraya, PB 65186",S1/D4,Manajemen Informatika,Universitas Gadjah Mada,kala71@perum.co.id,869106228250,Data Analyst,Freelancer,More than 5 years,05/14/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6275473,LinkedIn,checked,"['Azure', 'SQL', 'Docker', 'Node.js', 'JavaScript', 'Python']"
"May 04, 2025 @ 09:20 PM",Najib Nababan,Single,Female,Buddhist,09/06/1989,"Jl. BKR No. 19, Bekasi, JK 12731",D3,Sistem Komputer,Universitas Indonesia,kusmawatiibrani@gmail.com,717422104483,Frontend Developer,Freelancer,Fresh graduate,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8104250,Website,checked,"['Node.js', 'Networking', 'AWS', 'HTML', 'Figma']"
"May 12, 2025 @ 05:37 PM","Ikin Hardiansyah, M.Ak",Single,Male,Buddhist,04/04/1997,"Jalan Ronggowarsito No. 3, Sawahlunto, Bengkulu 24894",S1/D4,Sistem Informasi,Institut Teknologi Bandung,imamnasyiah@perum.biz.id,788131890261,Frontend Developer,Unemployed,More than 5 years,05/27/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7522756,Telegram Group,checked,"['Docker', 'JavaScript', 'Linux']"
